주차장명,주소,위도,경도,주차장코드,주소_안내정보,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금
구로디지털단지역,구로구 구로동 810-3,37.48543179,126.9012433,1037932,구로구 구로동 810-3,NW,노외 주차장,1,시간제 주차장,02-2290-6034,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),91,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:55,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700
구파발역,은평구 진관동 66-30,37.63800702,126.9193218,1051043,은평구 진관동 66-30,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:55,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
신설동,동대문구 신설동 114-29,37.57252061,127.0242568,1247636,동대문구 신설동 114-29,NW,노외 주차장,1,시간제 주차장,02-2232-6096,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2023-12-29 10:03,N,무료,N,무료,,,260,5,260,5,0,0,0,0,18700
영등포구청역,영등포구 당산동3가 370-3,37.52432737,126.8954889,1277144,영등포구 당산동3가 370-3,NW,노외 주차장,1,시간제 주차장,02-2290-6089,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),137,Y,유료,N,야간 미개방,500,100,500,100,500,100,2024-08-09 10:39,N,무료,N,무료,112000,,260,5,260,5,0,0,0,0,18700
잠실역,송파구 신천동 27-0,37.51427683,127.1034141,1277145,송파구 신천동 27-0,NW,노외 주차장,1,시간제 주차장,02-2290-6402,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),357,Y,유료,N,야간 미개방,500,100,500,100,500,100,2024-08-09 10:42,N,무료,N,무료,250000,,400,5,400,5,0,0,0,0,28800
장안2동,동대문구 장안동 286-9,37.5782752,127.070619,1277146,동대문구 장안동 286-9,NW,노외 주차장,1,시간제 주차장,02-2290-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),80,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 11:17,N,무료,N,무료,70000,,130,5,130,5,0,0,0,0,9300
개화역,강서구 개화동 664-0,37.57798421,126.7982122,1366576,강서구 개화동 664-0,NW,노외 주차장,1,시간제 주차장,02-2290-6312,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),483,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 10:18,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
신대방역,관악구 신림동 498-0,37.48830327,126.9145228,1366590,관악구 신림동 498-0,NW,노외 주차장,1,시간제 주차장,02-2290-6144,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),60,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:02,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700
동구로,구로구 구로동 94-1,37.49510602,126.8918616,1367120,구로구 구로동 94-1,NW,노외 주차장,1,시간제 주차장,02-3405-4086,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:57,N,무료,N,무료,140000,,320,5,320,5,0,0,0,0,23000
도봉산역,도봉구 도봉동 288-19,37.68972069,127.0448386,1372873,도봉구 도봉동 288-19,NW,노외 주차장,1,시간제 주차장,02)2290-6047 ,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),358,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:57,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200
수서역남,강남구 수서동 727-0,,,1374090,강남구 수서동 727-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),69,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:01,N,무료,N,무료,168000,,320,5,320,5,0,0,0,0,23000
동대문,중구 신당동 251-7,37.56710187,127.0121411,1384198,중구 신당동 251-7,NW,노외 주차장,1,시간제 주차장,02)2254-4901 ,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1092,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 9:58,N,무료,N,무료,157000,,360,5,360,5,0,0,0,0,25900
