주차장코드,주차장명,주소,위도,경도,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금
172937,목동체비지,양천구 목동 908-26,37.53679354,126.8806468,130,5,130,5,9300
172970,방화역(서),강서구 방화동 829-1,37.57757395,126.8121746,170,5,170,5,12200
173047,가양역,강서구 가양동 1480-10,37.56332959,126.8530818,260,5,260,5,18700
173424,일원역,강남구 일원동 716-2,37.48468629,127.0840899,170,5,170,5,12200
173828,남산한옥마을,중구 필동2가 83-1,37.56005799,126.9931608,430,5,430,5,30900
173831,도봉산,도봉구 도봉동 282-26,37.6876442,127.0406603,170,5,170,5,12200
1163833,봉천복개3,관악구 봉천동 1467-3,37.48825406,126.9304681,220,5,220,5,
1167546,독산동 금천교,금천구 독산동 1081-4,37.46656828,126.8899494,400,5,400,5,0
1208601,청계2(북2),종로구 관수동 91-4,37.56886774,126.9966429,750,5,750,5,0
1210657,청계3(북1),종로구 예지동 140-1,37.56943613,126.999902,750,5,750,5,0
1234305,가마산고가밑,구로구 구로동 414-13,37.49286543,126.8825944,120,5,120,5,0
1235665,청계6(청평화),중구 신당동 217-91 0,37.56959865,127.0150385,450,5,450,5,0
1277160,당산노외,영등포구 당산동3가 2-1,37.52625065,126.8994538,260,5,260,5,18700
1277163,명일동,강동구 명일동 47-9,37.55361065,127.1559121,220,5,220,5,15800
1366527,동작대교,용산구 용산동6가 69-11,37.518577,126.983287,120,5,120,5,8600
1366593,구로디지털단지역(상),관악구 신림동 1677-5,37.48481135,126.9032339,260,5,260,5,18700
1366600,학여울,강남구 대치동 514-1,37.49705092,127.0723954,260,5,260,5,18700
1366624,창동역(서),도봉구 창동 330-0,37.65237042,127.0456768,260,5,260,5,18700
1366903,석계역,노원구 월계동 50-9,37.615292,127.062997,260,5,260,5,18700
1367264,적선동,종로구 적선동 140-0,37.57449014,126.9741859,8100,120,680,5,0
1367564,해군본부앞,영등포구 신길동 812-0,37.50434123,126.9210013,220,5,220,5,
1367773,가산동 금천교,금천구 가산동 691-3,37.46590874,126.8871535,200,5,200,5,0
1367792,당산고가밑,영등포구 당산동5가 9-15,37.53239679,126.9006891,260,5,260,5,
1367804,을지로,중구 을지로3가 282-8,37.56663036,126.9967857,750,5,750,5,
